"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.110430889,0.077474378,0.107978351,0.039807111,0.147633761,-0.079807028,0.06709785,0.050738424,0.033881009,-0.005709035,0.059427939,-0.004194264,0.001239687,0.053578615,-0.045553647,-0.078817599,-0.020884641,0.031054916,0.02735997,0.114642389,0.009673499,0.110430889,0.044512741,0.104197152,-0.021766225,0.010686695,0.145827278,-0.04258224,0.009673499,0.083537638,0.078863755,0.154783398,0.036933482,0.061743531,-0.020884641,0.041415539,0.093271293,0.000626495,0.019991066,0.084948301,-0.044638157,0.099287838,-0.026431751,0.085039251,0.071266517,0.181916729,0.016241271
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.010417967,0.111478813,0.039503887,-0.058914382,0.060928814,-0.123599678,0.067919388,0.023681946,-0.04932842,-0.025909157,0.062516093,0.029444281,0.054168288,-0.03730806,-0.004942996,-0.035969697,0.025023855,0.015819166,-0.018508734,0.054201238,-0.038345814,0.010417967,0.006107768,0.021387707,0.019951509,0.054834563,0.075615644,-0.042569034,-0.038345814,0.042563889,0.034235366,0.122326553,0.038733028,-0.072975799,0.025023855,0.022397447,-0.019346405,0.023018129,0.01786286,0.031465091,0.022911435,0.082440265,-0.08851967,-0.04131709,-0.033467487,0.072730705,0.049801774
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.081862777,0.093173847,0.025080632,0.000722944,0.040491529,0.014630603,0.023120848,0.054319859,0.046939574,0.036164597,0.096979558,0.025397642,0.06383574,0.063698716,0.05242037,0.038428277,0.111473441,0.070231497,0.006892381,0.051680677,-0.018282933,0.081862777,0.075261146,0.126491189,-0.025451917,0.080337711,0.071509123,0.097087443,-0.018282933,-0.023069602,0.016087323,0.148095667,0.09304449,0.102354944,0.111473441,0.071299903,0.11476931,0.089397401,0.04156572,0.135576338,-0.032386832,0.066149823,0.043049265,0.092670724,0.017559001,0.163547516,0.069631152
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.83817178,0.836078823,0.820528626,0.829801321,0.857816756,0.885029852,0.843798935,0.862879395,0.849735558,0.837281346,0.832648933,0.875132382,0.884203732,0.836491287,0.880279183,0.87492156,0.881627262,0.855905116,0.889688432,0.873480082,0.838892937,0.83817178,0.842160285,0.872225702,0.862196326,0.895046592,0.866503656,0.858325899,0.838892937,0.83046782,0.839512289,0.838484466,0.877607226,0.839172304,0.881627262,0.867042601,0.88274318,0.882120728,0.83056891,0.874882758,0.854102373,0.874812841,0.880619526,0.86027503,0.85959506,0.873277485,0.878009319
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.48939106,0.4838405,0.49180076,0.48214343,0.48448595,0.47662276,0.48343736,0.47454113,0.47058168,0.47808895,0.47750825,0.46976927,0.46500152,0.4692186,0.4561425,0.47061452,0.47397014,0.4819873,0.4684445,0.46048337,0.48368886,0.48939106,0.47682106,0.47102475,0.4825064,0.4831022,0.48436517,0.4796108,0.48368886,0.47445858,0.4869793,0.4884041,0.4634717,0.48678827,0.47397014,0.4665883,0.47181603,0.46827945,0.48055354,0.46657574,0.47579002,0.4709926,0.46412364,0.4863252,0.47281265,0.4825784,0.47914824
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.101978779,0.07566458,0.115512222,0.038484994,0.145202249,-0.066940576,0.061952218,0.061138026,0.040690616,0.003865957,0.067929372,-0.012719562,0.014850285,0.058676675,-0.039783977,-0.06068489,-0.011980467,0.044049047,0.011279105,0.118415296,0.018178303,0.101978779,0.056852467,0.107790932,-0.031039434,0.004109428,0.151966959,-0.036975995,0.018178303,0.089425579,0.073356569,0.148928881,0.039637253,0.063072279,-0.011980467,0.0209812,0.091784209,0.006733675,0.020575307,0.075051874,-0.052150019,0.085650802,-0.028056428,0.09410204,0.07704588,0.166835681,0.010498904
"method query of class SearchRecentSuggestionsProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class SearchRecentSuggestionsProvider has parameters uri Uri : The URI to query. This will be the full URI sent by the client;
if the client is requesting a specific record the URI will end in a record number
that the implementation should parse and add to a WHERE or HAVING clause specifying
that _id value.
This value cannot be null . |||
projection String : The list of columns to put into the cursor. If null all columns are included. |||
selection String : A selection criteria to apply when filtering rows.
If null then all rows are included. |||
selectionArgs String : You may include ?s in selection which will be replaced by
the values from selectionArgs in order that they appear in the selection.
The values will be bound as Strings.
This value may be null . |||
sortOrder String : How the rows in the cursor should be sorted.
If null then the provider is free to define the sort order. ||| returns Cursor a Cursor or null . |||",0.023921728,0.104205638,0.006767721,-0.0876344,0.024096336,-0.045107428,0.095576212,0.016928442,-0.007917685,-0.014927745,0.071398392,0.051684946,0.000515629,-0.035496131,0.022029353,-0.043652754,0.066620968,0.003970385,-0.032628365,0.006049082,-0.051052269,0.023921728,0.028565152,0.038586888,-0.004438166,0.107611969,0.137975112,-0.089088202,-0.051052269,0.065606147,0.054461204,0.095739208,0.08362966,-0.015028268,0.066620968,-0.033478945,0.004551808,0.054022692,0.04830664,-0.008077048,0.050548825,0.044120111,-0.099074557,-0.03893533,-0.03040936,0.073380172,0.020049235
